institute,neighborhood
"59 TOWNSEND ST
ROXBURY, MA 02119
(42.31856289432221, -71.09165569529381)",ROXBURY
"300 LONGWOOD AV
FENWAY/KENMORE, MA 02115
(42.337592548462226, -71.10472284437952)",FENWAY/KENMORE
"243 CHARLES ST
CENTRAL, MA 02114
(42.36297141612903, -71.07043169540236)",CENTRAL
"44 BINNEY ST
FENWAY/KENMORE, MA 02115
(42.33734993862189, -71.1071702648531)",FENWAY/KENMORE
"55 FRUIT ST
CENTRAL, MA 02114
(42.36247485742686, -71.06924724545246)",CENTRAL
"125 NASHUA ST
CENTRAL, MA 02114
(42.36764789068138, -71.06564730220646)",CENTRAL
"330 BROOKLINE AV
FENWAY/KENMORE, MA 02115
(42.3438499996779, -71.08983000035408)",FENWAY/KENMORE
"90 CUSHING AV
DORCHESTER, MA 02125
(42.314030311294516, -71.06406449543488)",DORCHESTER
"170 MORTON ST
ROSLINDALE, MA 02130
(42.30025000839615, -71.10737910445549)",ROSLINDALE
"1400 VFW Parkway
West Roxbury, MA 02132
(42.27598935537618, -71.17245195460838)",West Roxbury
"818 HARRISON AV
SOUTH END, MA 02118
(42.335925371008436, -71.07378404269969)",SOUTH END
"736 CAMBRIDGE ST
ALLSTON/BRIGHTON, MA 02135
(42.349656455743144, -71.14822103232248)",ALLSTON/BRIGHTON
"1200 Centre St
Roslindale, MA 02131
(42.29738386053219, -71.13150465441208)",Roslindale
"249 RIVER ST
MATTAPAN, MA 02126
(42.27137912172521, -71.08168028446168)",MATTAPAN
"185 PILGRIM RD
FENWAY/KENMORE, MA 02215
(42.3385289546495, -71.10940050507557)",FENWAY/KENMORE
"1515 COMMONWEALTH AV
ALLSTON/BRIGHTON, MA 02135
(42.34665771451756, -71.14136122385321)",ALLSTON/BRIGHTON
"1153 CENTRE ST
JAMAICA PLAIN, MA 02130
(42.30021828265608, -71.12789683059322)",JAMAICA PLAIN
"30 WARREN ST
ALLSTON/BRIGHTON, MA 02134
(42.352620000312925, -71.13281000028115)",ALLSTON/BRIGHTON
"49 ROBINWOOD AV
JAMAICA PLAIN, MA 02130
(42.31617666213941, -71.11272670363542)",JAMAICA PLAIN
"75 FRANCIS ST
FENWAY/KENMORE, MA 02115
(42.33587602903896, -71.10741054246668)",FENWAY/KENMORE
"88 EAST NEWTON ST
SOUTH END, MA 02118
(42.3371094801158, -71.07139912234962)",SOUTH END
"2100 DORCHESTER AV
DORCHESTER, MA 02124
(42.27854306401838, -71.06631280050811)",DORCHESTER
"125 PARKER HILL AV
JAMAICA PLAIN, MA 02120
(42.329611374844326, -71.10616871232227)",JAMAICA PLAIN
"51 BLOSSOM ST
CENTRAL, MA 02114
(42.36327718561898, -71.0668523937257)",CENTRAL
"750 WASHINGTON ST
CENTRAL, MA 02111
(42.349946522039204, -71.0634111017112)",CENTRAL
